Symbol,price_date,open_price,high_price,low_price,close_price,adjusted_close,Volume
AAPL,2017-05-16,155.940002,156.059998,154.720001,155.470001,153.090256,20048500
AAPL,2017-05-17,153.600006,154.570007,149.710007,150.250000,147.950150,50767700
AAPL,2017-05-18,151.270004,153.339996,151.130005,152.539993,150.205078,33568200
AAPL,2017-05-19,153.380005,153.979996,152.630005,153.059998,150.717133,26960800
AAPL,2017-05-22,154.000000,154.580002,152.910004,153.990005,151.632904,22966400
AAPL,2017-05-23,154.899994,154.899994,153.309998,153.800003,151.445801,19918900
AAPL,2017-05-24,153.839996,154.169998,152.669998,153.339996,150.992844,19178000
AAPL,2017-05-25,153.729996,154.350006,153.029999,153.869995,151.514725,19235600
AAPL,2017-05-26,154.000000,154.240005,153.309998,153.610001,151.258728,21701100
AAPL,2017-05-30,153.419998,154.429993,153.330002,153.669998,151.317795,20126900
AAPL,2017-05-31,153.970001,154.169998,152.380005,152.759995,150.421722,24451200
AAPL,2017-06-01,153.169998,153.330002,152.220001,153.179993,150.835281,16404100
AAPL,2017-06-02,153.580002,155.449997,152.889999,155.449997,153.070541,27770700
AAPL,2017-06-05,154.339996,154.449997,153.460007,153.929993,151.573807,25331700
AAPL,2017-06-06,153.899994,155.809998,153.779999,154.449997,152.085846,26624900
AAPL,2017-06-07,155.020004,155.979996,154.479996,155.369995,152.991776,21069600
AAPL,2017-06-08,155.250000,155.539993,154.399994,154.990005,152.617584,21250800
AAPL,2017-06-09,155.190002,155.190002,146.020004,148.979996,146.699570,64882700
AAPL,2017-06-12,145.740005,146.089996,142.509995,145.419998,143.194092,72307300
AAPL,2017-06-13,147.160004,147.449997,145.149994,146.589996,144.346161,34165400
AAPL,2017-06-14,147.500000,147.500000,143.839996,145.160004,142.938065,31531200
AAPL,2017-06-15,143.320007,144.479996,142.210007,144.289993,142.081360,32165400
AAPL,2017-06-16,143.779999,144.500000,142.199997,142.270004,140.092300,50361100
AAPL,2017-06-19,143.660004,146.740005,143.660004,146.339996,144.099991,32541400
AAPL,2017-06-20,146.869995,146.869995,144.940002,145.009995,142.790359,24900100
AAPL,2017-06-21,145.520004,146.070007,144.610001,145.869995,143.637177,21265800
AAPL,2017-06-22,145.770004,146.699997,145.119995,145.630005,143.400879,19106300
AAPL,2017-06-23,145.130005,147.160004,145.110001,146.279999,144.040924,35439400
AAPL,2017-06-26,147.169998,148.279999,145.380005,145.820007,143.587967,25692400
AAPL,2017-06-27,145.009995,146.160004,143.619995,143.729996,141.529938,24761900
